iter	Passed	Remaining
585	7059	23058
586	7065	23026
587	7091	23059
588	7106	23056
589	7124	23063
590	7129	23030
591	7135	22996
592	7165	23042
593	7172	23014
594	7190	23022
595	7199	22999
596	7204	22966
597	7213	22944
598	7225	22930
599	7230	22897
600	7236	22864
601	7244	22841
602	7249	22808
603	7264	22804
604	7279	22800
605	7291	22787
606	7308	22793
607	7330	22810
608	7344	22806
609	7353	22784
610	7363	22764
611	7380	22769
612	7403	22788
613	7415	22777
614	7420	22745
615	7426	22713
616	7431	22680
617	7436	22647
618	7445	22626
619	7451	22594
620	7475	22620
621	7487	22607
622	7496	22584
623	7510	22580
624	7525	22576
625	7544	22585
626	7568	22608
627	7586	22614
628	7598	22602
629	7604	22570
630	7625	22587
631	7631	22556
632	7649	22561
633	7664	22558
634	7679	22554
635	7694	22552
636	7724	22591
637	7732	22565
638	7740	22542
639	7748	22520
640	7766	22523
641	7778	22511
642	7789	22496
643	7814	22522
644	7820	22491
645	7834	22486
646	7840	22455
647	7854	22449
648	7863	22427
649	7869	22396
650	7894	22421
651	7899	22390
652	7915	22390
653	7943	22420
654	7972	22457
655	7999	22485
656	8011	22473
657	8029	22477
658	8054	22502
659	8080	22527
660	8096	22526
661	8102	22495
662	8111	22473
663	8119	22450
664	8133	22444
665	8145	22431
666	8151	22400
667	8165	22394
668	8177	22381
669	8189	22367
670	8194	22336
671	8219	22359
672	8231	22346
673	8240	22325
674	8248	22302
675	8263	22295
676	8289	22320
677	8301	22307
678	8312	22292
679	8340	22322
680	8363	22339
681	8392	22371
682	8398	22341
683	8416	22344
684	8424	22322
685	8450	22345
686	8469	22350
687	8481	22336
688	8490	22316
689	8516	22340
690	8543	22366
691	8562	22371
692	8571	22350
693	8583	22335
694	8597	22328
695	8609	22314
696	8621	22301
697	8632	22286
698	8644	22272
699	8669	22293
700	8678	22272
701	8690	22258
702	8720	22290
703	8733	22281
704	8754	22289
705	8776	22301
706	8785	22280
707	8790	22249
708	8795	22218
709	8816	22227
