iter	Passed	Remaining
769	1689	504
770	1691	502
771	1693	500
772	1695	497
773	1697	495
774	1699	493
775	1701	491
776	1703	488
777	1705	486
778	1707	484
779	1709	482
780	1711	479
781	1713	477
782	1715	475
783	1717	473
784	1719	470
785	1721	468
786	1723	466
787	1725	464
788	1727	461
789	1728	459
790	1731	457
791	1732	455
792	1734	452
793	1736	450
794	1738	448
795	1740	446
796	1742	443
797	1744	441
798	1746	439
799	1748	437
800	1750	434
801	1752	432
802	1754	430
803	1756	428
804	1758	425
805	1760	423
806	1763	421
807	1765	419
808	1767	417
809	1769	415
810	1772	412
811	1774	410
812	1776	408
813	1778	406
814	1780	404
815	1782	401
816	1784	399
817	1786	397
818	1789	395
819	1791	393
820	1793	390
821	1795	388
822	1797	386
823	1800	384
824	1802	382
825	1804	380
826	1806	377
827	1809	375
828	1811	373
829	1813	371
830	1815	369
831	1817	366
832	1819	364
833	1821	362
834	1823	360
835	1825	358
836	1827	355
837	1828	353
838	1830	351
839	1833	349
840	1834	346
841	1836	344
842	1838	342
843	1840	340
844	1842	337
845	1844	335
846	1846	333
847	1848	331
848	1849	329
849	1852	326
850	1853	324
851	1855	322
852	1857	320
853	1859	317
854	1861	315
855	1863	313
856	1865	311
857	1867	309
858	1869	306
859	1871	304
860	1873	302
861	1875	300
862	1877	298
863	1879	295
864	1881	293
865	1884	291
866	1886	289
867	1888	287
868	1890	284
869	1892	282
870	1894	280
871	1896	278
872	1898	276
873	1900	273
874	1902	271
875	1904	269
876	1905	267
877	1907	265
878	1910	262
879	1912	260
880	1914	258
881	1916	256
882	1918	254
883	1920	251
884	1922	249
885	1924	247
886	1926	245
887	1928	243
888	1930	240
889	1932	238
890	1934	236
891	1935	234
892	1937	232
893	1940	230
894	1941	227
895	1943	225
896	1945	223
897	1947	221
898	1949	218
899	1951	216
900	1953	214
901	1954	212
902	1956	210
903	1958	207
904	1960	205
905	1961	203
906	1963	201
907	1965	199
908	1967	196
909	1969	194
910	1971	192
911	1973	190
912	1975	188
913	1976	186
914	1978	183
915	1980	181
916	1982	179
917	1985	177
918	1987	175
919	1989	172
920	1991	170
921	1993	168
922	1995	166
923	1997	164
924	1998	162
925	2000	159
926	2002	157
927	2004	155
928	2006	153
929	2008	151
930	2010	149
931	2012	146
932	2014	144
933	2016	142
934	2018	140
935	2020	138
936	2022	135
937	2024	133
938	2026	131
939	2028	129
940	2030	127
941	2032	125
942	2034	122
943	2035	120
944	2037	118
945	2039	116
946	2041	114
947	2043	112
948	2045	109
949	2046	107
950	2048	105
951	2050	103
952	2052	101
953	2054	99
954	2056	96
955	2058	94
956	2060	92
957	2062	90
958	2063	88
959	2065	86
960	2068	83
961	2070	81
962	2072	79
963	2074	77
964	2076	75
965	2078	73
966	2080	70
967	2082	68
968	2084	66
969	2086	64
970	2088	62
971	2090	60
972	2092	58
973	2094	55
974	2096	53
975	2098	51
976	2100	49
977	2102	47
978	2104	45
979	2106	42
980	2108	40
981	2109	38
982	2111	36
983	2113	34
984	2115	32
985	2117	30
986	2119	27
987	2120	25
988	2123	23
989	2125	21
990	2126	19
991	2128	17
992	2130	15
993	2132	12
994	2135	10
995	2137	8
996	2139	6
997	2141	4
998	2143	2
999	2145	0
